id,judul,harga_display,harga_raw,harga_diskon,diskon_amount,merek,model,varian,tahun,km_label,km_raw,bahan_bakar,warna,transmisi,tipe_bodi,kapasitas_cc,tipe_penjual,bursa_mobil,seller_id,seller_name,seller_type,kecamatan,kota,provinsi,status,is_hot,favorit,has_video,has_promotion,jumlah_foto,foto_utama,created_at,url,harga_num,tahun_num,source_file,scrape_time,price,year,mileage,car_age,km_per_year,listing_quality,is_luxury,is_japanese
944944005,Toyota Voxy 2.0 2019 Hitam,Rp 259.000.000,259000000.0,,,Toyota,Voxy,2.0 Bensin-AT,2019,120.000-125.000,125,Bensin,Hitam,Automatic,Van,>1.500 - 2.000 cc,Diler,,131750255,Hadi Gallery ,Regular,,,Jakarta D.K.I.,active,0,0,0,0,19,https://apollo.olx.co.id:443/v1/files/69f3598e70a65-ID/image,2026-04-30T20:31:49+07:00,https://www.olx.co.id/item/944944005,259000000.0,2019,olx_mobil_bekas_20260430_2051.csv,20260430_2051,259000000.0,2019,125,7,17.857142857142858,13.299999999999999,0,1
944393057,Wuling Confero DB 1.5 L M/T,Rp 120.000.000,120000000.0,,,Wuling,Confero,1.5 Double Blower Bensin-MT,2024,10.000-15.000,15,Bensin,Silver,Manual,MPV,>1.000 - 1.500 cc,Individu,,86112095,Abdul Aziz,Regular,,,Banten,active,0,2,0,0,3,https://apollo.olx.co.id:443/v1/files/69d740ef3df40-ID/image,2026-04-30T20:31:05+07:00,https://www.olx.co.id/item/944393057,120000000.0,2024,olx_mobil_bekas_20260430_2051.csv,20260430_2051,120000000.0,2024,15,2,7.5,2.6999999999999997,0,0
944943925,Hyundai SantaFe G Prime 2.5L Bensin AT 2013,Rp 360.000.000,360000000.0,,,Hyundai,Santa Fe,2.5 6AT Prime Bensin-AT,2023,5.000-10.000,10,Bensin,Putih,Automatic,SUV,>2.000 - 3.000 cc,Diler,,131750255,Hadi Gallery ,Regular,,,Jakarta D.K.I.,active,0,0,0,0,20,https://apollo.olx.co.id:443/v1/files/69f357c913fa0-ID/image,2026-04-30T20:26:04+07:00,https://www.olx.co.id/item/944943925,360000000.0,2023,olx_mobil_bekas_20260430_2051.csv,20260430_2051,360000000.0,2023,10,3,3.3333333333333335,14.0,0,0
944943895,CRV 2.4 AT 2012 antik Gen4 KM79rb,Rp 150.000.000,150000000.0,,,Honda,CR-V,2.4 Bensin-AT,2012,75.000-80.000,80,Bensin,Putih,Automatic,SUV,>2.000 - 3.000 cc,Diler,Bursa Mobil WTC Mangga Dua,94603236,GARASI AUTOPRIMA,Regular,,,Jakarta D.K.I.,active,0,0,0,0,20,https://apollo.olx.co.id:443/v1/files/69f3575f57fdf-ID/image,2026-04-30T20:24:17+07:00,https://www.olx.co.id/item/944943895,150000000.0,2012,olx_mobil_bekas_20260430_2051.csv,20260430_2051,150000000.0,2012,80,14,5.714285714285714,14.0,0,1
943470372,TOYOTA KIJANG INNOVA 2.4 G DIESEL AT 2017,Rp 295.000.000,295000000.0,,,Toyota,Kijang Innova,2.4 G Solar-AT,2017,165.000-170.000,170,Diesel,Silver,Automatic,MPV,>2.000 - 3.000 cc,Diler,,109081474,Fajrin,Regular,,,Banten,active,0,1,0,0,12,https://apollo.olx.co.id:443/v1/files/69a11ca86d140-ID/image,2026-04-30T20:23:45+07:00,https://www.olx.co.id/item/943470372,295000000.0,2017,olx_mobil_bekas_20260430_2051.csv,20260430_2051,295000000.0,2017,170,9,18.88888888888889,8.7,0,1
944943850,Outlander PX AT 2014 White Pearl,Rp 145.000.000,145000000.0,,,Mitsubishi,Outlander,2.0 PX Bensin-AT,2014,120.000-125.000,125,Bensin,Putih,Automatic,SUV,>2.000 - 3.000 cc,Diler,,131750255,Hadi Gallery ,Regular,,,Banten,active,0,0,0,0,17,https://apollo.olx.co.id:443/v1/files/69f356fd07121-ID/image,2026-04-30T20:21:59+07:00,https://www.olx.co.id/item/944943850,145000000.0,2014,olx_mobil_bekas_20260430_2051.csv,20260430_2051,145000000.0,2014,125,12,10.416666666666666,11.899999999999999,0,1
944943825,Suzuki Baleno 1.5 at 2022,Rp 210.000.000,210000000.0,,,Suzuki,Baleno,1.5 Bensin-AT,2022,30.000-35.000,35,Bensin,Hitam,Automatic,Hatchback,>1.000 - 1.500 cc,Diler,Bursa Mobil Summarecon Serpong,2318437,Auto 18,Regular,,,Jakarta D.K.I.,active,0,0,0,0,14,https://apollo.olx.co.id:443/v1/files/69f35671b65d8-ID/image,2026-04-30T20:21:09+07:00,https://www.olx.co.id/item/944943825,210000000.0,2022,olx_mobil_bekas_20260430_2051.csv,20260430_2051,210000000.0,2022,35,4,8.75,9.799999999999999,0,1
944943814,Isuzu Elf 2019 Diesel,Rp 230.000.000,230000000.0,,,Isuzu,Elf,2.8 NLR 55 B LX Solar-MT,2019,>300.000,301,Diesel,Putih,Manual,Unknown,Unknown,Individu,,128758313,Santi,Regular,,,Jakarta D.K.I.,active,0,0,0,0,4,https://apollo.olx.co.id:443/v1/files/69f3570aa3af9-ID/image,2026-04-30T20:20:09+07:00,https://www.olx.co.id/item/944943814,230000000.0,2019,olx_mobil_bekas_20260430_2051.csv,20260430_2051,230000000.0,2019,301,7,43.0,2.8,0,0
944943810,TOYOTA RUSH 2017 TRD SPORTIVO ULTIMO M/T WHITE,Rp 168.000.000,168000000.0,,,Toyota,Rush,1.5 TRD Sportivo Ultimo Bensin-MT,2017,95.000-100.000,100,Bensin,Putih,Manual,SUV,>1.000 - 1.500 cc,Individu,,100583012,Juan Sinaga,Regular,,,Jakarta D.K.I.,active,0,0,0,0,9,https://apollo.olx.co.id:443/v1/files/69f354923a9f1-ID/image,2026-04-30T20:19:48+07:00,https://www.olx.co.id/item/944943810,168000000.0,2017,olx_mobil_bekas_20260430_2051.csv,20260430_2051,168000000.0,2017,100,9,11.11111111111111,6.3,0,1
944004911,HONDA JAZZ 1.5 RS AT 2012 SIAP PAKAI & LOW KM,Rp 140.000.000,140000000.0,,,Honda,Jazz,1.5 RS Bensin-AT,2012,65.000-70.000,70,Bensin,Hitam,Automatic,Compact & City Car,>1.000 - 1.500 cc,Diler,,109081474,Fajrin,Regular,,,Banten,active,0,6,0,0,14,https://apollo.olx.co.id:443/v1/files/69c170a587a42-ID/image,2026-04-30T20:18:51+07:00,https://www.olx.co.id/item/944004911,140000000.0,2012,olx_mobil_bekas_20260430_2051.csv,20260430_2051,140000000.0,2012,70,14,5.0,11.599999999999998,0,1
